what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1352866068565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1352866068592
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1352866068592
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352866085125
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.remove.block.comment",1352866097010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352866139002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352866139274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352866140898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352866141306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352866141382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352866141684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352866143187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352867176923
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352867185771
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.remove.block.comment",1352867196483
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1352867213265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352867220641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867220898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867222576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867222650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867224432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867224980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867225104
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352867231832
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352867233218
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352867325477
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352867353168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352867390829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867391102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867392367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867392515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867392609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867392925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867394185
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352867422740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352867442501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867442702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867444171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867444574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867444675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867445016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867445094
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1352867473288
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352867475157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867990542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352867990639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868049864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868049908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352868249489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868249767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868251567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868252005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868252106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868252449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868252541
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1352868254892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868254929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868255922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868256076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868256975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868259616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868259703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868261605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868261674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868262004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352868263289
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1352868263370
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1352868263452
opened,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1352868264192
activated,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1352868264234
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1352868266886
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1352868276069
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1352868276653
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1352868277321
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1352868277845
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1352868278464
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1352868280615
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1352868281463
